No. of Cluster: 15
Cluster id:0
F (22.4999197, 88.36958) 2017-04-18 04:28:00.0
D (22.4999162, 88.3695861) 2017-04-18 04:28:00.0
E (22.4999484, 88.3695967) 2017-04-18 04:28:00.0
F (22.499954, 88.3695893) 2017-04-18 04:28:00.0
D (22.499957, 88.3695849) 2017-04-18 04:28:00.0
E (22.4999593, 88.3695792) 2017-04-18 04:28:00.0
F (22.4999603, 88.3695762) 2017-04-18 04:28:00.0
D (22.4999614, 88.3695753) 2017-04-18 04:28:00.0
E (22.4999623, 88.3695751) 2017-04-18 04:28:00.0
F (22.4999641, 88.3695718) 2017-04-18 04:28:00.0
D (22.4999828, 88.3695724) 2017-04-18 04:28:00.0
E (22.5000153, 88.3695772) 2017-04-18 04:28:00.0
F (22.5000131, 88.3695724) 2017-04-18 04:28:00.0
D (22.5000155, 88.3695707) 2017-04-18 04:28:00.0
E (22.5000246, 88.3695717) 2017-04-18 04:28:00.0
F (22.5000246, 88.3695706) 2017-04-18 04:28:00.0
D (22.5000226, 88.3695688) 2017-04-18 04:28:00.0
E (22.5000194, 88.3695572) 2017-04-18 04:28:00.0
F (22.4999491, 88.3694767) 2017-04-18 04:28:00.0
Cluster id:9
D (22.4965337, 88.3707032) 2017-04-18 04:29:00.0
F (22.4965963, 88.3706754) 2017-04-18 04:29:00.0
E (22.4965059, 88.3707136) 2017-04-18 04:29:00.0
F (22.4965023, 88.3707231) 2017-04-18 04:29:00.0
D (22.4964992, 88.3707267) 2017-04-18 04:29:00.0
E (22.496483, 88.3707142) 2017-04-18 04:29:00.0
F (22.4964823, 88.3707098) 2017-04-18 04:29:00.0
D (22.4964775, 88.3707076) 2017-04-18 04:29:00.0
E (22.4964784, 88.3707103) 2017-04-18 04:29:00.0
F (22.4964784, 88.3707106) 2017-04-18 04:29:00.0
D (22.4964783, 88.3707105) 2017-04-18 04:29:00.0
E (22.496477, 88.3707091) 2017-04-18 04:30:00.0
